Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
My Property Rm,https://www.inmuebles24.com/inmobiliarias/my-property-rm_102587251-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-awa-playacar-147706214.html,Departamento en Venta Awa Playacar,Penthouse,85000,MXN,3,3,308.0,m2,"Awa Penthouse3 bedroom 3 bath penthouse unit with double balcony surrounded by jungle and private jacuzzi. 308m2 Interior, hoa 10, 400mx per month, includes internet wifi. Price $799, 000 usd (open to offers). Original owner, rent numbers are quite high. Includes +/- $50, 000 us in furniture, and one parking space.",https://img10.naventcdn.com/avisos/18/01/47/70/62/14/720x532/1562516834.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/47/70/62/14/720x532/1562516869.jpg; https://img10.naventcdn.com/avisos/18/01/47/70/62/14/720x532/1562516857.jpg; https://img10.naventcdn.com/avisos/18/01/47/70/62/14/720x532/1562516855.jpg; https://img10.naventcdn.com/avisos/18/01/47/70/62/14/720x532/1562516835.jpg; https://img10.naventcdn.com/avisos/18/01/47/70/62/14/720x532/1562516861.jpg; https://img10.naventcdn.com/avisos/18/01/47/70/62/14/720x532/1562516872.jpg; https://img10.naventcdn.com/avisos/18/01/47/70/62/14/720x532/1562516842.jpg,Mexico,Quintana Roo,Solidaridad,20.6185249,-87.0874985,Rent
Stayzify Agency,https://www.inmuebles24.com/inmobiliarias/stayzify-agency_102671155-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-1-recamara-en-renta-macondo-5th-av-149290763.html,Departamento de 1 Recámara en Renta | Macondo 5th Av Playa del Carmen | a Pasos de La Playa,Condo/Apartment,20000,MXN,1,1,70.0,m2,"Departamento de 1 Recamara en renta en Macondo 5ta Avenida, Playa del Carmen, con buena iluminacion y ventilación, situado en la planta alta del condominio y ubicado a solo 2 minutos caminando de la playa en la zona Colosio, una de las áreas con mayor crecimiento y plusvalía. Departamento amueblado y equipado con 1 recámara, 1 baño completo, cocina equipada, sala, comedor, centro de lavado con lavadora, cama matrimonial, closets, aire acondicionado, balcón con vista a la Quinta Avenida y estacio...",https://img10.naventcdn.com/avisos/18/01/49/29/07/63/720x532/1594404571.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/49/29/07/63/720x532/1619172221.jpg; https://img10.naventcdn.com/avisos/18/01/49/29/07/63/720x532/1619172234.jpg; https://img10.naventcdn.com/avisos/18/01/49/29/07/63/720x532/1594404561.jpg; https://img10.naventcdn.com/avisos/18/01/49/29/07/63/720x532/1594404558.jpg; https://img10.naventcdn.com/avisos/18/01/49/29/07/63/720x532/1594404566.jpg; https://img10.naventcdn.com/avisos/18/01/49/29/07/63/720x532/1619172203.jpg; https://img10.naventcdn.com/avisos/18/01/49/29/07/63/720x532/1594404565.jpg,Mexico,Quintana Roo,Solidaridad,20.6381208,-87.0637486,Rent
TULUX PROPIEDADES,https://www.inmuebles24.com/inmobiliarias/tulux-propiedades_102405771-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-luxia-residencial-150146946.html,Departamento en Luxia Residencial,Condo/Apartment,25000,MXN,2,2,,m2,"Ubicado en Luxia Residencial, este departamento ofrece una opción práctica para vivir en una comunidad con amenidades y entorno residencial cómodo y cercano a al centro de la ciudad. La renta incluye el mantenimiento y se entrega amueblado, listo para habitar. Los servicios de internet, luz y gas no están incluidos y deberán ser cubiertos por el inquilino. Disponible para renta mínima de seis meses. Se aceptan mascotas pequeñas y medianas únicamente con autorización previa. Amenidades destacadas...",https://img10.naventcdn.com/avisos/18/01/50/14/69/46/720x532/1612164590.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/14/69/46/720x532/1612164592.jpg; https://img10.naventcdn.com/avisos/18/01/50/14/69/46/720x532/1612164593.jpg,Mexico,Quintana Roo,Solidaridad,20.6262762,-87.0915548,Rent
Arkhos Real Estate,https://www.inmuebles24.com/inmobiliarias/arkhos-real-estate_662802-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-estudio-un-lugar-tranquilo-en-playa-del-carmen-150737044.html,Estudio un Lugar Tranquilo en Playa del Carmen,Unknown,7500,MXN,,,,m2,"Estudio en primer piso, Todo es nuevoEl A/A, el refrigerador. Las cortinas. La cocina, la tarja. Closet de madera abiertoCocina integral con gabinetesCama Queen Renta $7500. Incluye agua e internet básicoNo mascotaCapacidadSolo persona sola o parejahttps: //www. arkhosrealestate. com/",https://img10.naventcdn.com/avisos/18/01/50/73/70/44/720x532/1624388930.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/73/70/44/720x532/1624388884.jpg; https://img10.naventcdn.com/avisos/18/01/50/73/70/44/720x532/1624388965.jpg; https://img10.naventcdn.com/avisos/18/01/50/73/70/44/720x532/1624389002.jpg,Mexico,Quintana Roo,Solidaridad,20.6306691,-87.0920909,Rent
