Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent,Source Count,Source Brokers,Source URLs,Region Match
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/hacienda-en-venta-en-patzcuaro-michoacan-kc0357/,"Hacienda en venta en Pátzcuaro, Michoacan | KC0357 - Cantú Real Estate",Land/Lot,40000000.00,USD,0,0,952,m2,"Hacienda y 4 casas más, 952m2 construcción, 62,460 m2 terreno",https://canturealestate.com.mx/wp-content/uploads/2025/03/6873279_64134601530700178681798739425992276357499200261545507027617733568726642773470.jpg,Mexico,Quintana Roo,Puerto Morelos,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/hacienda-en-venta-en-patzcuaro-michoacan-kc0357/,Puerto Morelos; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/casa-en-venta-en-aldea-kiin-puerto-morelos-kc0262/,"Casa en Venta en Aldea Kiin, Puerto Morelos | KC0262 - Cantú Real Estate",Land/Lot,4000000.00,USD,3,3,279,m2,"GRAN OPORTUNIDAD Casa en Venta en Aldea Kiin, Puerto Morelos - Un Refugio de Tranquilidad y Confort Sumérgete en el encanto de Puerto Morelos con esta espectacular casa de 279m² construcción, 160 m2 de terreno 8 x 20, ubicada en la exclusiva comunidad de Aldea Kiin ECOHABITAT. Un entorno seguro y relajado, diseñado para disfrutar",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/casa-en-venta-en-aldea-kiin-puerto-morelos-kc0262/,Playa del Carmen; Puerto Morelos; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/departamento-en-venta-en-sole-blu-puerto-morelos/,Departamento en Venta en Sole Blu Puerto Morelos - Cantú Real Estate,Land/Lot,752000.00,USD,2,2,136.07,m2,"Sole Blu Ocean Living - Condominio en VentaExperimenta el lujo frente al mar en Sole Blu Ocean Living, el desarrollo residencial más completo de Puerto Morelos, que ofrece 75 exclusivos departamentos diseñados para brindarte un estilo de vida excepcional.Situado en la zona de playa más privilegiada de Puerto Morelos, este desarrollo es una propuesta integral",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/departamento-en-venta-en-sole-blu-puerto-morelos/,Playa del Carmen; Puerto Morelos; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/terreno-en-venta-en-bahia-petempich-puerto-morelos/,"Terreno en Venta en Bahía Petempich, Puerto Morelos - Cantú Real Estate",Land/Lot,60000000.00,USD,0,0,80000,m2,"Terreno Estratégico en la Riviera Maya: Oportunidad de Inversión Única Descubra el potencial ilimitado de la Riviera Maya con este terreno excepcional, una verdadera joya para inversionistas y desarrolladores con visión de futuro. Ubicado en Bahía Petempich, Puerto Morelos, este predio goza de una ubicación privilegiada con frente a la carretera federal 307, la arteria",https://canturealestate.com.mx/wp-content/uploads/2025/09/7320185_100656179916230318429946284228749518132406978490110994733852226121819204210959.jpg,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/terreno-en-venta-en-bahia-petempich-puerto-morelos/,Playa del Carmen; Puerto Morelos; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/terreno-en-puerto-morelos-2/,Terreno en Puerto Morelos - Cantú Real Estate,Land/Lot,6000000.00,USD,0,0,158,m2,"Paquete de 2 Terrenos en Venta sobre la Carretera Cancún - Puerto Morelos Ubicación Estratégica Exclusiva propiedad en venta entre Puerto Morelos y Playa del Carmen, dentro de uno de los corredores turísticos con mayor crecimiento y plusvalía del Caribe Mexicano. Ubicado en una zona rodeada de resorts de lujo, desarrollos hoteleros de alta gama",https://canturealestate.com.mx/wp-content/uploads/2026/04/7973362_25073848557368114267679739037774364472266734371320721926949726109932088172889.jpg,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/terreno-en-puerto-morelos-2/,Cancun; Playa del Carmen; Puerto Morelos; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/venta-de-terreno-a-tan-solo-3-cuadras-del-mar-en-puerto-morelos/,"VENTA DE TERRENO A TAN SOLO 3 CUADRAS DEL MAR, EN PUERTO MORELOS - Cantú Real Estate",Land/Lot,18000000.00,USD,0,0,540,m2,Venta de inmuebles en todo México,https://canturealestate.com.mx/wp-content/uploads/2023/12/Logo-horizontal.png; https://canturealestate.com.mx/wp-content/uploads/2020/07/placeholder-592x444.png; https://canturealestate.com.mx/wp-content/themes/houzez/img/profile-avatar.png; https://canturealestate.com.mx/wp-content/uploads/2024/09/Logo-Blanco-completo-cantu-SF.png; https://canturealestate.com.mx/wp-content/uploads/2026/05/8086565_106742014891235500823591156257849186412793227132670656115155559143332033961662.jpg; https://canturealestate.com.mx/wp-content/uploads/2026/05/8086565_59698047624821786012824206584132169013762068754229684508985594418257771798677.jpg; https://canturealestate.com.mx/wp-content/uploads/2026/05/8086565_75370366757427941177255515941380784251092282928779515495360082118200295019060.jpg; https://canturealestate.com.mx/wp-content/uploads/2026/05/8086565_8680442508611310407322555076868335437120955638262859035754681114684546286054.jpg,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/venta-de-terreno-a-tan-solo-3-cuadras-del-mar-en-puerto-morelos/,Playa del Carmen; Puerto Morelos; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/venta-de-terreno-escriturado-y-con-servicios/,VENTA DE TERRENO ESCRITURADO Y CON SERVICIOS - Cantú Real Estate,Land/Lot,1300000.00,USD,0,0,800,m2,"TERRENOS RESIDENCIALES EN NATURA – PUERTO MORELOS ???? Invierte rodeado de naturaleza en una de las zonas con mayor crecimiento y plusvalía de la Riviera Maya. ???? Ruta de los Cenotes | Puerto Morelos ? Disponibles:?? 800 m² desde $1,040,000 MXN?? 1,000 m² desde $1,300,000 MXN ?? Escritura pública?? Contrato con CFE?? Pozo de agua",https://canturealestate.com.mx/wp-content/uploads/2026/05/8082314_13771859356394900363843974469779834239110964675336681038112331137683277296052.jpg,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/venta-de-terreno-escriturado-y-con-servicios/,Playa del Carmen; Puerto Morelos; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/casa-en-venta-oportunidad-se-vende-como-lote/,"CASA EN VENTA OPORTUNIDAD, SE VENDE COMO LOTE - Cantú Real Estate",Land/Lot,15000000.00,USD,1,1,150,m2,"Pto. Morelos: Oportunidad Única para Invertir o Vivir Cerca de la Playa Si estás buscando un lugar ideal para invertir o residir, ¡esta es tu oportunidad! Situada a solo 150 metros de la mejor playa de Pto. Morelos, esta propiedad única está a la venta. Se trata de una casa de un nivel que se",https://canturealestate.com.mx/wp-content/uploads/2023/12/Logo-horizontal.png; https://canturealestate.com.mx/wp-content/uploads/2020/07/placeholder-592x444.png; https://canturealestate.com.mx/wp-content/uploads/2026/07/8483577_80905134630380122465864560601430707568110522802531658204096965146610447979246-592x444.jpg; https://canturealestate.com.mx/wp-content/themes/houzez/img/profile-avatar.png; https://canturealestate.com.mx/wp-content/uploads/2024/09/Logo-Blanco-completo-cantu-SF.png; https://canturealestate.com.mx/wp-content/uploads/2025/04/6888973_68997901226819344586232503491063687292891261525214824367492503141539786968147.jpg; https://canturealestate.com.mx/wp-content/uploads/2025/04/6888973_90141152262971252081264218818666617406274531256334142608250187168149542354389.jpg; https://canturealestate.com.mx/wp-content/uploads/2025/04/6888973_66228857210011188594112761417270747430090215301203797636142567485495978507087.jpg,Mexico,Quintana Roo,Puerto Morelos,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/casa-en-venta-oportunidad-se-vende-como-lote/,Puerto Morelos; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/terreno-en-venta-en-puerto-morelos/,Terreno en Venta en Puerto Morelos - Cantú Real Estate,Land/Lot,585000.00,USD,0,0,1080,m2,"Oportunidad Única de Inversión | Ruta de los Cenotes – Puerto Morelos Lotes residenciales en venta con ubicación estratégica sobre la Ruta de los Cenotes, a solo 4 km de Leona Vicario. Una de las zonas con mayor proyección de plusvalía en la Riviera Maya, ideal para quienes buscan invertir con seguridad o desarrollar un",https://canturealestate.com.mx/wp-content/uploads/2025/08/7297696_71814279920355815675025966817373152889187932614457430525016618918075710784618.jpg,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/terreno-en-venta-en-puerto-morelos/,Playa del Carmen; Puerto Morelos; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/venta-de-terreno-con-frente-de-carretera-en-la-ruta-de-los-cenotes-puerto-morelos/,"VENTA DE TERRENO CON FRENTE DE CARRETERA EN LA RUTA DE LOS CENOTES, PUERTO MORELOS - Cantú Real Estate",Land/Lot,156327000.00,USD,0,0,540,m2,Venta de inmuebles en todo México,https://canturealestate.com.mx/wp-content/uploads/2026/05/8086851_70839786523706812357136548093339755745028323339191354185555019125754953897469.jpg,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/venta-de-terreno-con-frente-de-carretera-en-la-ruta-de-los-cenotes-puerto-morelos/,Playa del Carmen; Puerto Morelos; Other Riviera Maya
