Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
CENTURY 21 Universum,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/466888_terreno-en-venta-en-anahuac-miguel-hidalgo-cdmx,"Terreno en venta en Anáhuac, Miguel Hidalgo, CDMX",Terreno,9680000,MXN,0,0,440,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/7yUlwWz3/uploads/205/propiedades/466888/664e9c7f56a8d.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/irgPpzcr/uploads/205/propiedades/466888/thumb6563d57b5fb4c00.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/sCdBGOxO/uploads/205/propiedades/466888/6345fe301f044.jpeg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/nBUFy2ks/uploads/205/propiedades/466888/thumb256345fe8020d42.jpeg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/xmOg5efR/uploads/205/propiedades/466888/6345fdc8e7fd1.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Z8Q8lTKL/uploads/205/propiedades/466888/thumb916345fee047c31.jpeg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/uD1foDZv/uploads/205/propiedades/466888/thumb716345fdbcb6342.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/JBpDa2hl/uploads/205/propiedades/466888/6345fdd50c511.jpeg,México,Ciudad De México,Miguel Hidalgo,19.4467263,-99.1762242,Sale
CENTURY 21 Covarrubias,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/494758_edificio-de-producto-en-venta-en-santa-anita-iztacalco,"Edificio de Producto en venta en Santa Anita, Iztacalco",Edificio,10600000,MXN,,,615,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/tYL6MSW3/uploads/26/propiedades/494758/6477e9822000f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/UxsU6IY0/uploads/26/propiedades/494758/6477e97b60ef6.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/dD7iPNQ2/uploads/26/propiedades/494758/6477e97e12d16.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/7YxelNln/uploads/26/propiedades/494758/6477e97c257af.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/WHRpRwoa/uploads/26/propiedades/494758/6477e9802f484.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/0SxMr1mG/uploads/26/propiedades/494758/6477e980be963.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/dH6SmrRP/uploads/26/propiedades/494758/6477e97d813b9.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/gjYzoyQt/uploads/26/propiedades/494758/6477e97cc8efb.jpg,México,Ciudad De México,Iztacalco,19.3995311,-99.11879689999999,Sale
CENTURY 21 Universum,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/486194_departamento-en-preventa-en-plenitud-azcapotzalco-cdmx,"Departamento en preventa en Plenitud, Azcapotzalco, CDMX.",Departamento,5850000,MXN,3,3,150,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/7nVwLGfb/uploads/205/propiedades/486194/6920b7a300abc.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/IpdJH6J9/uploads/205/propiedades/486194/6920b7ab20f4b.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/g0XqkSK5/uploads/205/propiedades/486194/6920b7b1bc4c6.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/kgOiBig8/uploads/205/propiedades/486194/6920b7bc95ea9.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/tNoN41b4/uploads/205/propiedades/486194/6920b7b6e8d9a.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/RnTGsDcl/uploads/205/propiedades/486194/6920b7b906673.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/8orv8YZQ/uploads/205/propiedades/486194/6920b7a971add.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/aa6lJFIj/uploads/205/propiedades/486194/6920b7b378c16.jpg,México,Ciudad De México,Azcapotzalco,19.474351,-99.1947285,Sale
CENTURY 21 Covarrubias,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/524197_casa-en-venta-en-del-valle-benito-juarez-cdmx,"Casa en venta en Del Valle, Benito Juárez, CDMX",Casa,22000000,MXN,4,3,560,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/Zeu2dDOh/uploads/26/propiedades/524197/65af0d10dceb1.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/bs2GQMOz/uploads/26/propiedades/524197/65af0d1183c76.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/0Q9Xuo1l/uploads/26/propiedades/524197/65af0d131f55c.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/NJIk5HOF/uploads/26/propiedades/524197/65af0d1210d54.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/0MZ3TR4J/uploads/26/propiedades/524197/65af0d1aee30a.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Y85frdDQ/uploads/26/propiedades/524197/65af0d196c1a4.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/gZ7mlkSA/uploads/26/propiedades/524197/65af0d163921e.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/i3aAUfuG/uploads/26/propiedades/524197/65af0d128ed7b.jpg,México,Ciudad De México,Benito Juárez,19.3864082,-99.1685141,Sale
CENTURY 21 Promozur + Angel,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/423618_casa-en-venta-con-uso-comercial-col-xaltocan-xochimilco,"Casa en venta con uso comercial, Col. Xaltocan, Xochimilco",Casa,10000000,MXN,8,2,394,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/gICIGjZw/uploads/511/propiedades/423618/619c04454582d.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Dis6qvPx/uploads/511/propiedades/423618/619c04479196f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/zmgMiW7q/uploads/511/propiedades/423618/619c043d82df3.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/On9tkCjm/uploads/511/propiedades/423618/619c043e513d6.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Pi8HzwQw/uploads/511/propiedades/423618/619c04493cfee.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/1odmnmkG/uploads/511/propiedades/423618/619c043f36ba0.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/fCV7Ld8X/uploads/511/propiedades/423618/619c044017869.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/g6fBhEvs/uploads/511/propiedades/423618/619c0441d197e.jpg,México,Ciudad De México,Xochimilco,19.2509643,-99.10542199999999,Sale
CENTURY 21 Amici,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/523072_edificio-oficinas-venta-del-valle-benito-juarez-ciudad-de-mexico,"EDIFICIO, OFICINAS, VENTA, DEL VALLE, BENITO JUÁREZ, CIUDAD DE MÉXICO",Edificio,24500000,MXN,,,690,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/q7yjwYZb/uploads/141/propiedades/523072/65e76244503ba.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/yojrisuS/uploads/141/propiedades/523072/65aad768447fb.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/hqOxVl5T/uploads/141/propiedades/523072/65aad76ad2b24.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/L1pnTTIW/uploads/141/propiedades/523072/65aad76d1bcf8.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/qXCLVDI8/uploads/141/propiedades/523072/65aad76e59b63.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/TFdNxYCV/uploads/141/propiedades/523072/65aad7753d6e6.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/LUKyyZLn/uploads/141/propiedades/523072/65aad7762eca4.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/5GDuCNa0/uploads/141/propiedades/523072/65aad777e216e.jpg,México,Ciudad De México,Benito Juárez,19.382930690290884,-99.17541799961393,Sale
CENTURY 21 Covarrubias,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/448522_terreno-en-venta-en-merced-gomez-alvaro-obregon-cdmx,"Terreno en venta en Merced Gómez, Álvaro Obregón, CDMX",Terreno,19400000,MXN,,,660,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/k6BEJeBl/uploads/26/propiedades/448522/62b9e8d1a4ef7.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/mXADuhGV/uploads/26/propiedades/448522/62b9e8d2a08de.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/2YgEuPKD/uploads/26/propiedades/448522/62b9e8d452f10.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/mgaQVkQ7/uploads/26/propiedades/448522/62b9e8d36c6e4.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/JsoLu0PG/uploads/26/propiedades/448522/62b9e8d714295.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Mg0NhXFj/uploads/26/propiedades/448522/62b9e8d5334b7.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/OXSeJwn5/uploads/26/propiedades/448522/62b9e8d615096.JPG,México,Ciudad De México,Alvaro Obregón,19.3651258,-99.19272819999999,Sale
CENTURY 21 Promozur + Angel,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/423147_terreno-en-venta-san-juan-xalpa-iztapalapa,"Terreno en Venta, San Juan Xalpa, Iztapalapa",Terreno,80000000,MXN,,,9044,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/gOezEIOg/uploads/511/propiedades/423147/62cf3efeb7c7a.jpeg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/T4I1LKaP/uploads/511/propiedades/423147/62cf3f00308a4.jpeg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/CboQrYjt/uploads/511/propiedades/423147/62cf3efb8b6fe.jpeg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/k3P4DXAY/uploads/511/propiedades/423147/62cf3f01cb981.jpeg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/q8vLHzdh/uploads/511/propiedades/423147/62cf3efd0ece7.jpeg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/3cnW4MgF/uploads/511/propiedades/423147/618ae31684ada.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/zx5VyH88/uploads/511/propiedades/423147/618ae315d6426.jpg,México,Ciudad De México,Iztapalapa,19.332561,-99.0877098,Sale
CENTURY 21 Covarrubias,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/308027_terreno-en-venta-en-heroes-de-padierna-la-magdalena-contreras-cdmx,"Terreno en venta en Héroes de Padierna, La Magdalena Contreras, CDMX",Terreno,18900000,MXN,,,1846,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/A1CzgFJ5/uploads/26/propiedades/308027/65ca7b827eb17.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/b0H6cZDG/uploads/26/propiedades/308027/65ca7b845d591.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/TPHrOZv2/uploads/26/propiedades/308027/65ca7b8f946f3.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/JapTqMot/uploads/26/propiedades/308027/65ca7b83b8688.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/AaDtUB1o/uploads/26/propiedades/308027/65ca7b832b27e.jpg,México,Ciudad De México,La Magdalena Contreras,19.3276855,-99.2243967,Sale
CENTURY 21 Covarrubias,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/435535_casa-en-venta-en-arenal-de-guadalupe-tlalpan-cdmx,"Casa en venta en Arenal de Guadalupe, Tlalpan, CDMX",Casa,8700000,MXN,3,2,380,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/03EGoN5S/uploads/26/propiedades/435535/621939e40fe2d.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/iUOdDE8K/uploads/26/propiedades/435535/621939e206675.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/8P9lD2YY/uploads/26/propiedades/435535/621939e5ce4e5.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/HvDHijBH/uploads/26/propiedades/435535/621939e4dc369.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/W6WnyzVS/uploads/26/propiedades/435535/621939fc60309.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/VucJ2b26/uploads/26/propiedades/435535/62193a01d9007.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/83hQOsA7/uploads/26/propiedades/435535/621939e2e1b8c.JPG; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Iw07i53c/uploads/26/propiedades/435535/62193a04cfc88.JPG,México,Ciudad De México,Tlalpan,19.2827113,-99.14570169999999,Sale
